Time QueueLength
420.156443331 3
420.401738144 4
420.463868007 3
420.539867925 2
420.608718721 3
422.149805579 4
422.349632381 5
423.998185167 6
424.630445773 7
427.213069817 6
427.522706863 5
427.574460785 6
428.180580952 5
428.42127229 4
428.753205127 3
429.232253704 2
429.323322357 3
429.465603302 2
430.424183484 1
431.281857963 0
432.254927349 1
432.475449993 0
434.904164764 1
436.102031469 0
436.644268585 1
436.765904564 0
438.175605336 1
438.600085917 0
439.356866934 1
439.625904925 2
439.645843999 3
439.75927411 2
441.068546071 1
441.356183397 2
442.849668366 1
443.270386543 0
443.691816127 1
444.125774063 0
444.191501852 1
444.209868096 0
445.134144128 1
445.689368961 0
445.889507759 1
446.069059367 0
446.524612181 1
446.718644476 0
446.892002812 1
447.063432024 0
448.408498784 1
448.561407636 0
448.731045995 1
449.039383459 0
449.150783361 1
449.173969299 0
449.670633075 1
449.820311253 2
449.897304479 1
450.489695796 0
451.362973385 1
451.583019159 0
451.660146551 1
451.754395974 2
451.93832747 3
452.734861523 2
452.781450463 1
452.843605027 0
453.778472336 1
453.79313789 0
453.947578066 1
454.051246273 0
454.513708534 1
454.575068488 2
454.613929143 1
454.64628541 0
456.433888562 1
458.452190766 0
460.50920426 1
460.781298099 0
462.506973476 1
462.758696405 0
463.496847036 1
463.498596879 2
464.084414425 3
464.090717355 2
464.109656412 3
464.56312616 2
465.503372003 1
465.90654522 0
466.290348531 1
466.884724945 0
467.469181498 1
467.498452924 2
467.757205574 3
468.670226394 4
468.81313595 5
468.977769409 6
469.846877964 7
471.815190613 6
472.265537532 5
472.265579599 6
472.371797496 5
472.660633642 6
474.616007967 7
474.813669911 6
476.480613968 7
476.644976202 6
477.142295054 7
477.828904866 6
478.044122036 5
478.55754227 4
479.021753674 5
479.721337777 6
480.531307031 7
481.226159422 6
481.37349308 5
481.986870092 4
483.081623702 5
483.155264161 4
483.44510958 5
483.480391725 6
483.718162747 7
484.075276633 8
484.502074962 7
484.658951555 8
485.615088129 9
485.783263342 8
486.771573183 7
487.196880899 6
487.395578842 7
487.835268152 6
488.148559025 7
488.218799509 6
488.728196879 5
489.217445272 4
490.316777983 5
490.380968955 6
491.091085567 5
491.99256361 6
494.359168136 5
495.712478792 4
496.142927341 3
